case_id,experiment_no,T_C,pH,topo_wt_pct,na_li_mass_ratio,oh_inventory_multiplier,invert_reaction_constants,initial_Li_mol,initial_Na_mol,initial_OH_mol,Li_extraction_pct_calc,Na_extraction_pct_calc,selectivity_calc,Li_extraction_pct_exp,Na_extraction_pct_exp,selectivity_exp,Li_extraction_AARD_contribution_pct,selectivity_AARD_contribution_pct,converged,iterations,final_extent_delta,source
held_2014_s2_no_born_table9_kij_pH_stoich,26,30.0,10.0,30.0,15.0,1.0,False,0.1440922190201729,0.6524641461164746,0.0001,4.511364654264544e-10,9.962251286034903e-11,4.528459004631394,31.65,8.22,3.85,99.9999999985746,17.622311808607623,True,1,9.999966346455674e-13,Rezaee2025_Table5
held_2014_s2_no_born_no_kij_pH_stoich,1,25.0,9.5,20.0,10.0,1.0,False,0.1440922190201729,0.43497609741098314,3.1622776601683795e-05,4.5110415657725416e-10,1.4943350872279309e-10,3.0187617250831993,29.69,8.32,3.57,99.99999999848062,15.44084803688517,True,1,9.999998729522674e-13,Rezaee2025_Table5
held_2014_s2_no_born_no_kij_pH_stoich,2,35.0,9.5,20.0,10.0,1.0,False,0.1440922190201729,0.43497609741098314,3.1622776601683795e-05,4.5110415657725406e-10,1.4943350872279309e-10,3.0187617250831984,34.01,12.93,2.63,99.99999999867362,14.781814641946713,True,1,9.999998729522674e-13,Rezaee2025_Table5
held_2014_s2_no_born_no_kij_pH_stoich,3,25.0,10.5,20.0,10.0,1.0,False,0.1440922190201729,0.43497609741098314,0.00031622776601683794,4.5114156615718375e-10,1.4943360072290587e-10,3.0190102090475204,41.35,11.14,3.71,99.99999999890896,18.625061750740688,True,1,9.99998729585124e-13,Rezaee2025_Table5
held_2014_s2_no_born_no_kij_pH_stoich,4,35.0,10.5,20.0,10.0,1.0,False,0.1440922190201729,0.43497609741098314,0.00031622776601683794,4.5114156615718375e-10,1.4943360072290587e-10,3.0190102090475204,39.24,14.21,2.76,99.9999999988503,9.384427864040601,True,1,9.99998729585124e-13,Rezaee2025_Table5
held_2014_s2_no_born_no_kij_pH_stoich,5,25.0,9.5,40.0,10.0,1.0,False,0.1440922190201729,0.43497609741098314,3.1622776601683795e-05,4.511014165437875e-10,1.4943350067035893e-10,3.0187435516142354,33.03,11.3,2.92,99.99999999863427,3.3816284799395695,True,1,9.999999730270211e-13,Rezaee2025_Table5
held_2014_s2_no_born_no_kij_pH_stoich,6,35.0,9.5,40.0,10.0,1.0,False,0.1440922190201729,0.43497609741098314,3.1622776601683795e-05,4.511014165437875e-10,1.4943350067035893e-10,3.0187435516142354,33.22,16.54,2.01,99.99999999864207,50.18624634896695,True,1,9.999999730270211e-13,Rezaee2025_Table5
held_2014_s2_no_born_no_kij_pH_stoich,7,25.0,10.5,40.0,10.0,1.0,False,0.1440922190201729,0.43497609741098314,0.00031622776601683794,4.511141655689586e-10,1.4943352020252254e-10,3.0188284727387655,44.53,11.93,3.73,99.99999999898694,19.0662607844835,True,1,9.999997302834698e-13,Rezaee2025_Table5
held_2014_s2_no_born_no_kij_pH_stoich,8,35.0,10.5,40.0,10.0,1.0,False,0.1440922190201729,0.43497609741098314,0.00031622776601683794,4.5111416556895876e-10,1.4943352020252254e-10,3.018828472738767,37.79,16.85,2.24,99.99999999880625,34.769128247266366,True,1,9.999997302834698e-13,Rezaee2025_Table5
held_2014_s2_no_born_no_kij_pH_stoich,9,25.0,9.5,20.0,20.0,1.0,False,0.1440922190201729,0.8699521948219663,3.1622776601683795e-05,4.5110456112663387e-10,7.471675951951216e-11,6.037528447801977,34.95,9.61,3.63,99.99999999870928,66.32309773559166,True,1,9.99999744743296e-13,Rezaee2025_Table5
held_2014_s2_no_born_no_kij_pH_stoich,10,35.0,9.5,20.0,20.0,1.0,False,0.1440922190201729,0.8699521948219663,3.1622776601683795e-05,4.5110456112663413e-10,7.471675951951216e-11,6.03752844780198,30.0,12.73,2.36,99.99999999849632,155.82747660177884,True,1,9.99999744743296e-13,Rezaee2025_Table5
held_2014_s2_no_born_no_kij_pH_stoich,11,25.0,10.5,20.0,20.0,1.0,False,0.1440922190201729,0.8699521948219663,0.00031622776601683794,4.5114561458117865e-10,7.471685194657637e-11,6.038070432942682,36.85,10.43,3.53,99.99999999877572,71.05015390772472,True,1,9.999974473967997e-13,Rezaee2025_Table5
held_2014_s2_no_born_no_kij_pH_stoich,12,35.0,10.5,20.0,20.0,1.0,False,0.1440922190201729,0.8699521948219663,0.00031622776601683794,4.5114561458118056e-10,7.471685194657637e-11,6.038070432942708,39.59,16.16,2.45,99.99999999886046,146.4518544058248,True,1,9.999974473967997e-13,Rezaee2025_Table5
held_2014_s2_no_born_no_kij_pH_stoich,13,25.0,9.5,40.0,20.0,1.0,False,0.1440922190201729,0.8699521948219663,3.1622776601683795e-05,4.5110155441248946e-10,7.471675143027767e-11,6.037488859957158,37.5,10.72,3.5,99.99999999879707,72.49968171306165,True,1,9.999999458075045e-13,Rezaee2025_Table5
held_2014_s2_no_born_no_kij_pH_stoich,14,35.0,9.5,40.0,20.0,1.0,False,0.1440922190201729,0.8699521948219663,3.1622776601683795e-05,4.5110155441248946e-10,7.471675143027767e-11,6.037488859957158,36.32,15.01,2.42,99.99999999875799,149.48301074203133,True,1,9.999999458075045e-13,Rezaee2025_Table5
held_2014_s2_no_born_no_kij_pH_stoich,15,25.0,10.5,40.0,20.0,1.0,False,0.1440922190201729,0.8699521948219663,0.00031622776601683794,4.511155452545771e-10,7.471677105308557e-11,6.037674526031962,38.04,10.76,3.53,99.99999999881409,71.03893841450318,True,1,9.999994580673674e-13,Rezaee2025_Table5
held_2014_s2_no_born_no_kij_pH_stoich,16,35.0,10.5,40.0,20.0,1.0,False,0.1440922190201729,0.8699521948219663,0.00031622776601683794,4.511155452545771e-10,7.471677105308557e-11,6.037674526031962,35.44,14.74,2.4,99.9999999987271,151.56977191799842,True,1,9.999994580673674e-13,Rezaee2025_Table5
held_2014_s2_no_born_no_kij_pH_stoich,17,20.0,10.0,30.0,15.0,1.0,False,0.1440922190201729,0.6524641461164746,0.0001,4.5110784852457965e-10,9.962234684008738e-11,4.528179297449122,37.63,8.49,4.43,99.9999999988012,2.2162369627341363,True,1,9.999997295675175e-13,Rezaee2025_Table5
