experiment_no,mode,T_C,pH,topo_wt_pct,na_li_mass_ratio,initial_Li_mol,initial_Na_mol,initial_OH_mol_from_pH,initial_DES_mol,oh_limited_max_li_plus_na_extraction_mol,li_extraction_pct_calc,na_extraction_pct_calc,li_extraction_pct_exp,na_extraction_pct_exp,li_abs_pct_error,na_abs_pct_error,selectivity_calc,selectivity_exp,converged,iterations,final_extent_delta,source
4,package_struct_default_no_explicit_elec_model,35.0,10.5,20.0,10.0,0.1440922190201729,0.43497609741098314,0.00031622776601683794,3.85579332947754,0.00031622776601683794,3.471115433980131e-10,1.1494916996279028e-10,39.24,14.21,39.23999999965289,14.209999999885051,3.019695953527765,2.76,True,1,9.999971729790735e-13,Rezaee2025_Table5
5,package_struct_default_no_explicit_elec_model,25.0,9.5,40.0,10.0,0.1440922190201729,0.43497609741098314,3.1622776601683795e-05,2.891844997108155,3.1622776601683795e-05,3.4703357412244036e-10,1.149491699061809e-10,33.03,11.3,33.029999999652965,11.29999999988505,3.019017661507968,2.92,True,1,9.999971734715481e-13,Rezaee2025_Table5
6,package_struct_default_no_explicit_elec_model,35.0,9.5,40.0,10.0,0.1440922190201729,0.43497609741098314,3.1622776601683795e-05,2.891844997108155,3.1622776601683795e-05,3.4703452554473724e-10,1.149491799335705e-10,33.22,16.54,33.21999999965296,16.53999999988505,3.0190256750443076,2.01,True,1,9.99997086238052e-13,Rezaee2025_Table5
7,package_struct_default_no_explicit_elec_model,25.0,10.5,40.0,10.0,0.1440922190201729,0.43497609741098314,0.00031622776601683794,2.891844997108155,0.00031622776601683794,3.473357719024503e-10,1.1495209421195787e-10,44.53,11.93,44.52999999965267,11.929999999885048,3.0215697615913357,3.73,True,1,9.99971733409258e-13,Rezaee2025_Table5
8,package_struct_default_no_explicit_elec_model,35.0,10.5,40.0,10.0,0.1440922190201729,0.43497609741098314,0.00031622776601683794,2.891844997108155,0.00031622776601683794,3.4734528558973194e-10,1.1495219448176158e-10,37.79,16.85,37.78999999965265,16.84999999988505,3.0216498880744904,2.24,True,1,9.999708611098999e-13,Rezaee2025_Table5
9,package_struct_default_no_explicit_elec_model,25.0,9.5,20.0,20.0,0.1440922190201729,0.8699521948219663,3.1622776601683795e-05,3.85579332947754,3.1622776601683795e-05,3.470141988305084e-10,5.7474461602333774e-11,34.95,9.61,34.94999999965299,9.609999999942525,6.0377111704238695,3.63,True,1,9.999993196567782e-13,Rezaee2025_Table5
10,package_struct_default_no_explicit_elec_model,35.0,9.5,20.0,20.0,0.1440922190201729,0.8699521948219663,3.1622776601683795e-05,3.85579332947754,3.1622776601683795e-05,3.4701447770554034e-10,5.7474462542501494e-11,30.0,12.73,29.999999999652985,12.729999999942526,6.037715923814484,2.36,True,1,9.999993032987587e-13,Rezaee2025_Table5
11,package_struct_default_no_explicit_elec_model,25.0,10.5,20.0,20.0,0.1440922190201729,0.8699521948219663,0.00031622776601683794,3.85579332947754,0.00031622776601683794,3.4714200995130973e-10,5.747481356519676e-11,36.85,10.43,36.84999999965286,10.429999999942526,6.039897973005654,3.53,True,1,9.99993195839475e-13,Rezaee2025_Table5
12,package_struct_default_no_explicit_elec_model,35.0,10.5,20.0,20.0,0.1440922190201729,0.8699521948219663,0.00031622776601683794,3.85579332947754,0.00031622776601683794,3.471447981804127e-10,5.747482296585e-11,39.59,16.16,39.58999999965286,16.159999999942524,6.039945497294995,2.45,True,1,9.999930322770968e-13,Rezaee2025_Table5
13,package_struct_default_no_explicit_elec_model,25.0,9.5,40.0,20.0,0.1440922190201729,0.8699521948219663,3.1622776601683795e-05,2.891844997108155,3.1622776601683795e-05,3.470439528618714e-10,5.747482553861778e-11,37.5,10.72,37.49999999965296,10.719999999942527,6.038190627106643,3.5,True,1,9.999929875133972e-13,Rezaee2025_Table5
14,package_struct_default_no_explicit_elec_model,35.0,9.5,40.0,20.0,0.1440922190201729,0.8699521948219663,3.1622776601683795e-05,2.891844997108155,3.1622776601683795e-05,3.470448161270348e-10,5.747483522918763e-11,36.32,15.01,36.31999999965296,15.009999999942526,6.038204628915472,2.42,True,1,9.99992818906747e-13,Rezaee2025_Table5
15,package_struct_default_no_explicit_elec_model,25.0,10.5,40.0,20.0,0.1440922190201729,0.8699521948219663,0.00031622776601683794,2.891844997108155,0.00031622776601683794,3.4743959562517344e-10,5.74784533176298e-11,38.04,10.76,38.03999999965256,10.759999999942522,6.044692846990834,3.53,True,1,9.999298676271206e-13,Rezaee2025_Table5
16,package_struct_default_no_explicit_elec_model,35.0,10.5,40.0,20.0,0.1440922190201729,0.8699521948219663,0.00031622776601683794,2.891844997108155,0.00031622776601683794,3.474482266633739e-10,5.747855021277423e-11,35.44,14.74,35.43999999965255,14.73999999994252,6.044832818106742,2.4,True,1,9.999281817442492e-13,Rezaee2025_Table5
17,package_struct_default_no_explicit_elec_model,20.0,10.0,30.0,15.0,0.1440922190201729,0.6524641461164746,0.0001,3.3738191632928474,0.0001,3.4707111641958584e-10,7.66329367262278e-11,37.63,8.49,37.62999999965293,8.489999999923366,4.529007124697597,4.43,True,1,9.99995127490479e-13,Rezaee2025_Table5
