case_id,basis_type,site_id,oa_ratio,stage,stage_count,Li_feed_mg_L,Na_feed_mg_L,Cl_feed_mg_L,TDS_mg_L,li_stage_extraction_pct,na_stage_extraction_pct,li_cumulative_extraction_pct,na_cumulative_extraction_pct,D_Li,D_Na,S_Li_Na,Li_raffinate_mg_L,Na_raffinate_mg_L,Li_extract_mg_L_org,Na_extract_mg_L_org,HBTA_consumed_mol_L_org,TOPO_consumed_mol_L_org,gamma_Li,gamma_Na,gamma_source,trust_label,model_status
smackover_clean_median_tds_proxy,observed_clean_usgs_row,MS-2,0.5,2,3,168.0,64100.0,174000.0,305000.0,29.749921220602964,0.008252308754351664,46.35865861142816,0.014807670678440576,0.8469718963312547,0.00016505979633105582,5131.303413415747,90.11745353280068,64090.50828309511,76.32695051121992,10.578766243961526,0.021996239340409198,0.010998119670204599,1.0728973943831797,0.8534433677161996,epcsaft_from_local_runtime_params,calibrated_reactive_extrapolated_to_smackover,calibrated_reactive_hbta_topo_not_full_predictive_epcsaft
smackover_clean_median_tds_proxy,observed_clean_usgs_row,MS-2,0.5,3,3,168.0,64100.0,174000.0,305000.0,39.57228023246533,0.010980683252867855,67.58576054616722,0.02578672794788517,1.3097393178064578,0.00021963778278658852,5963.178562401846,54.45592228243907,64083.47070738539,71.32306250072322,14.07515141943942,0.020554196686087385,0.010277098343043693,1.0714152030060093,0.8525033885627143,epcsaft_from_local_runtime_params,calibrated_reactive_extrapolated_to_smackover,calibrated_reactive_hbta_topo_not_full_predictive_epcsaft
smackover_clean_median_tds_proxy,observed_clean_usgs_row,MS-2,1.0,1,3,168.0,64100.0,174000.0,305000.0,47.2846085852254,0.013111805874858998,47.284608585225406,0.01311180587485472,0.8969791803911921,0.00013113525294839007,6840.107142998455,88.56185757682132,64091.595332434204,79.43814242317868,8.404667565784615,0.0228928364331927,0.01144641821659635,1.0744302635536314,0.8544155472100267,epcsaft_from_local_runtime_params,calibrated_reactive_extrapolated_to_smackover,calibrated_reactive_hbta_topo_not_full_predictive_epcsaft
smackover_clean_median_tds_proxy,observed_clean_usgs_row,MS-2,1.0,2,3,168.0,64100.0,174000.0,305000.0,80.22457355348538,0.022260965573107257,89.57530654477898,0.035369852633371224,4.056780963508621,0.00022265922182378812,18219.685357200906,17.513485004771322,64077.327924462,71.04837257205,14.267407972208398,0.020475035323357347,0.010237517661678673,1.0713666200811232,0.852472211338654,epcsaft_from_local_runtime_params,calibrated_reactive_extrapolated_to_smackover,calibrated_reactive_hbta_topo_not_full_predictive_epcsaft
smackover_clean_median_tds_proxy,observed_clean_usgs_row,MS-2,1.0,3,3,168.0,64100.0,174000.0,305000.0,99.9999,0.08066060427276618,99.99998957530654,0.11600192736928028,999998.999945047,0.0008072571812480918,1238761355.332831,1.7513485005733742e-05,64025.64276455629,17.513467491286317,51.68515990571299,0.005047108787114212,0.002523554393557106,1.0685726736440984,0.8507007700062736,epcsaft_from_local_runtime_params,outside_literature_capacity_envelope_near_total_transfer,calibrated_reactive_hbta_topo_not_full_predictive_epcsaft
smackover_clean_median_tds_proxy,observed_clean_usgs_row,MS-2,1.5,1,3,168.0,64100.0,174000.0,305000.0,70.9269128778381,0.019667708812288496,70.9269128778381,0.019667708812287632,1.626404804778409,0.00013114385173947532,12401.685501881964,48.84278636523199,64087.39299865131,79.43814242317868,8.404667565784615,0.0228928364331927,0.01144641821659635,1.0744302635536314,0.8544155472100267,epcsaft_from_local_runtime_params,calibrated_reactive_extrapolated_to_smackover,calibrated_reactive_hbta_topo_not_full_predictive_epcsaft
smackover_clean_median_tds_proxy,observed_clean_usgs_row,MS-2,1.5,2,3,168.0,64100.0,174000.0,305000.0,99.9999,0.09642063263079018,99.99997092691288,0.1160693777138122,666665.9999558892,0.0006434246116196271,1036121385.3442113,4.884278636846373e-05,64025.59952888544,32.561825014963745,41.19564651058689,0.009383811243505402,0.004691905621752701,1.0698379380384855,0.8515020771866606,epcsaft_from_local_runtime_params,outside_literature_capacity_envelope_near_total_transfer,calibrated_reactive_hbta_topo_not_full_predictive_epcsaft
smackover_clean_median_tds_proxy,observed_clean_usgs_row,MS-2,1.5,3,3,168.0,64100.0,174000.0,305000.0,99.9999,0.14959409728911865,99.99999999997092,0.26548984206511417,666665.9999857432,0.00099878810998442,667474906.1601689,4.884278636950825e-11,63929.82101123624,3.2561825017118237e-05,63.85234509945492,9.383811244126295e-09,4.691905622063147e-09,1.067450040997771,0.8500018800812219,epcsaft_from_local_runtime_params,outside_literature_capacity_envelope_near_total_transfer,calibrated_reactive_hbta_topo_not_full_predictive_epcsaft
smackover_clean_high_tds_high_li,observed_clean_usgs_row,BR-2,0.5,1,3,252.0,70800.0,193000.0,340000.0,16.6472033052823,0.004184871602930317,16.6472033052823,0.00418487160293024,0.39943958608259333,8.370093483525966e-05,4772.223713734752,210.0490476706886,70797.03711090512,83.90190465862277,5.92577818974933,0.02417922324455988,0.01208961162227994,1.1583240577727894,0.8997121293197589,epcsaft_from_local_runtime_params,calibrated_reactive_extrapolated_to_smackover,calibrated_reactive_hbta_topo_not_full_predictive_epcsaft
smackover_clean_high_tds_high_li,observed_clean_usgs_row,BR-2,0.5,2,3,252.0,70800.0,193000.0,340000.0,19.64729672786033,0.0049406886564039385,33.02377460286364,0.009125353497863031,0.4890264030400717,9.881865545017901e-05,4948.725529731803,168.78008800078362,70793.53924972352,82.53791933980997,6.995722363217152,0.02378614390196253,0.011893071950981266,1.1566005383254743,0.8986427426246452,epcsaft_from_local_runtime_params,calibrated_reactive_extrapolated_to_smackover,calibrated_reactive_hbta_topo_not_full_predictive_epcsaft
smackover_clean_high_tds_high_li,observed_clean_usgs_row,BR-2,0.5,3,3,252.0,70800.0,193000.0,340000.0,23.881057928009824,0.006007349888127822,49.0184057879482,0.015132155194086394,0.6274668900527834,0.00012015421584670768,5222.179560085544,128.47361741437055,70789.28643412258,80.6129411728262,8.50563120183998,0.023231395150670374,0.011615697575335187,1.154901745321251,0.8975885223517022,epcsaft_from_local_runtime_params,calibrated_reactive_extrapolated_to_smackover,calibrated_reactive_hbta_topo_not_full_predictive_epcsaft
